year,season,fishery,length,freq
1988,2,13,10,0
1988,2,13,12,0
1988,2,13,14,0
1988,2,13,16,0
1988,2,13,18,0
1988,2,13,20,0
1988,2,13,22,0
1988,2,13,24,0
1988,2,13,26,0
1988,2,13,28,0
1988,2,13,30,0.548982220293755
1988,2,13,32,1.64694666088127
1988,2,13,34,1.09796444058751
1988,2,13,36,1.87927794064147
1988,2,13,38,0.781313500053961
1988,2,13,40,1.33029572034772
1988,2,13,42,5.37630184613882
1988,2,13,44,4.91081583416046
1988,2,13,46,6.44935234458716
1988,2,13,48,6.8307930085092
1988,2,13,50,10.0352059541014
1988,2,13,52,9.70905652092504
1988,2,13,54,9.57482205464635
1988,2,13,56,9.41293933005286
1988,2,13,58,12.366314510958
1988,2,13,60,8.90309529762805
1988,2,13,62,10.8310018249604
1988,2,13,64,11.1177933034943
1988,2,13,66,6.92361087223267
1988,2,13,68,7.40347368571293
1988,2,13,70,7.30822272071798
1988,2,13,72,6.65622096443135
1988,2,13,74,4.33655182807614
1988,2,13,76,6.56706592433774
1988,2,13,78,6.75924050042422
1988,2,13,80,6.08651802495028
1988,2,13,82,8.95415895961535
1988,2,13,84,5.0625593938562
1988,2,13,86,9.64258547886682
1988,2,13,88,6.25497605040743
1988,2,13,90,7.72005537677476
1988,2,13,92,11.5283457037445
1988,2,13,94,8.78417071154256
1988,2,13,96,13.9817072906517
1988,2,13,98,10.491071716492
1988,2,13,100,20.4136159321075
1988,2,13,102,18.10033512709
1988,2,13,104,20.5241992380426
1988,2,13,106,15.0665147819941
1988,2,13,108,22.8589666064425
1988,2,13,110,16.3381772376101
1988,2,13,112,13.4335055684729
1988,2,13,114,7.33040904873167
1988,2,13,116,8.96786531079098
1988,2,13,118,4.92185918499987
1988,2,13,120,7.87939126902543
1988,2,13,122,1.64694666088127
1988,2,13,124,3.82389474441236
1988,2,13,126,2.18643848235306
1988,2,13,128,0
1988,2,13,130,0
1988,2,13,132,0
1988,2,13,134,0
1988,2,13,136,0
1988,2,13,138,0
1988,2,13,140,0
1988,2,13,142,0
1988,2,13,144,0
1988,2,13,146,0
1988,2,13,148,0
1988,2,13,150,0
1988,2,13,152,0
1988,2,13,154,0
1988,2,13,156,0
1988,2,13,158,0
1988,2,13,160,0
1988,2,13,162,0
1988,2,13,164,0
1988,2,13,166,0
1988,2,13,168,0
1988,2,13,170,0
1988,2,13,172,0
1988,2,13,174,0
1988,2,13,176,0
1988,2,13,178,0
1988,2,13,180,0
1988,2,13,182,0
1988,2,13,184,0
1988,2,13,186,0
1988,2,13,188,0
1988,2,13,190,0
1988,2,13,192,0
1988,2,13,194,0
1988,2,13,196,0
1988,2,13,198,0
1988,3,13,10,0
1988,3,13,12,0
1988,3,13,14,0
1988,3,13,16,0
1988,3,13,18,0
1988,3,13,20,0
1988,3,13,22,0
1988,3,13,24,0
1988,3,13,26,0
1988,3,13,28,0
1988,3,13,30,0
1988,3,13,32,0
1988,3,13,34,7.88013999437733
1988,3,13,36,16.3740364891233
1988,3,13,38,47.7768964880636
1988,3,13,40,48.3777569753347
1988,3,13,42,104.494095673052
1988,3,13,44,115.40760450769
1988,3,13,46,163.801133934858
1988,3,13,48,151.828417793741
1988,3,13,50,191.91225203823
1988,3,13,52,140.653508674905
1988,3,13,54,93.875514323654
1988,3,13,56,119.276805607575
1988,3,13,58,85.7462432284369
1988,3,13,60,77.3303740400615
1988,3,13,62,74.1793978589345
1988,3,13,64,53.4525452318468
1988,3,13,66,29.5571234095627
1988,3,13,68,42.4473302964306
1988,3,13,70,35.8246101244835
1988,3,13,72,19.3518895618082
1988,3,13,74,12.2201549897583
1988,3,13,76,43.2596149583386
1988,3,13,78,36.3436301898887
1988,3,13,80,39.0149338128905
1988,3,13,82,81.0058523485606
1988,3,13,84,62.5556424680309
1988,3,13,86,79.6109507337683
1988,3,13,88,96.1333615059934
1988,3,13,90,87.7466625911707
1988,3,13,92,64.1167817350031
1988,3,13,94,61.9425970011144
1988,3,13,96,70.4870719502702
1988,3,13,98,56.2964175311985
1988,3,13,100,67.5028456286064
1988,3,13,102,40.8333997733484
1988,3,13,104,47.5731760701525
1988,3,13,106,40.158116485341
1988,3,13,108,54.2542801196508
1988,3,13,110,11.5482976988865
1988,3,13,112,5.5048078950977
1988,3,13,114,10.0727506473807
1988,3,13,116,2.36386741243528
1988,3,13,118,7.78961241292963
1988,3,13,120,0.873658282821897
1988,3,13,122,0.44651810674915
1988,3,13,124,9.8839113813142
1988,3,13,126,0.117268099566812
1988,3,13,128,6.8059616226075
1988,3,13,130,0.317641380345719
1988,3,13,132,0.601119842336721
1988,3,13,134,0.400746561557814
1988,3,13,136,0.400746561557814
1988,3,13,138,0.200373280778907
1988,3,13,140,0.200373280778907
1988,3,13,142,0
1988,3,13,144,0
1988,3,13,146,0.200373280778907
1988,3,13,148,0
1988,3,13,150,0
1988,3,13,152,0
1988,3,13,154,0
1988,3,13,156,0
1988,3,13,158,0
1988,3,13,160,0
1988,3,13,162,0
1988,3,13,164,0
1988,3,13,166,0
1988,3,13,168,0
1988,3,13,170,0
1988,3,13,172,0
1988,3,13,174,0
1988,3,13,176,0
1988,3,13,178,0
1988,3,13,180,0
1988,3,13,182,0
1988,3,13,184,0
1988,3,13,186,0
1988,3,13,188,0
1988,3,13,190,0
1988,3,13,192,0
1988,3,13,194,0
1988,3,13,196,0
1988,3,13,198,0
1988,4,13,10,0
1988,4,13,12,0
1988,4,13,14,0
1988,4,13,16,0
1988,4,13,18,0
1988,4,13,20,0
1988,4,13,22,0
1988,4,13,24,0
1988,4,13,26,0
1988,4,13,28,0
1988,4,13,30,0
1988,4,13,32,0
1988,4,13,34,2.75378915509428
1988,4,13,36,5.50757831018856
1988,4,13,38,16.5227349305657
1988,4,13,40,21.4331447596897
1988,4,13,42,36.5054025696487
1988,4,13,44,37.0681050934797
1988,4,13,46,41.8424758540322
1988,4,13,48,26.0209067674048
1988,4,13,50,39.5365781424694
1988,4,13,52,25.2446197316386
1988,4,13,54,52.5779876205278
1988,4,13,56,18.1377460481732
1988,4,13,58,41.7600896319661
1988,4,13,60,69.702797889229
1988,4,13,62,78.1704418279886
1988,4,13,64,175.037280811183
1988,4,13,66,106.711350164195
1988,4,13,68,65.4803552431531
1988,4,13,70,38.5588841733925
1988,4,13,72,23.9720505963749
1988,4,13,74,19.7412663227954
1988,4,13,76,21.959940840112
1988,4,13,78,22.7688107999969
1988,4,13,80,17.8754806576495
1988,4,13,82,21.72572208951
1988,4,13,84,34.6309113880895
1988,4,13,86,23.9184303178557
1988,4,13,88,12.5538233971365
1988,4,13,90,9.27170474553166
1988,4,13,92,9.70707371720444
1988,4,13,94,10.9824051901391
1988,4,13,96,5.40419776706835
1988,4,13,98,20.5191041283565
1988,4,13,100,16.09415110016
1988,4,13,102,36.3431347834246
1988,4,13,104,26.4329348569952
1988,4,13,106,34.294835045095
1988,4,13,108,52.3375402174798
1988,4,13,110,43.709456905252
1988,4,13,112,13.0442752110029
1988,4,13,114,5.459280609262
1988,4,13,116,0.676372863541931
1988,4,13,118,2.75378915509428
1988,4,13,120,0
1988,4,13,122,0
1988,4,13,124,0
1988,4,13,126,0
1988,4,13,128,0
1988,4,13,130,0
1988,4,13,132,0
1988,4,13,134,0
1988,4,13,136,0
1988,4,13,138,0
1988,4,13,140,0
1988,4,13,142,0
1988,4,13,144,0
1988,4,13,146,0
1988,4,13,148,0
1988,4,13,150,0
1988,4,13,152,0
1988,4,13,154,0
1988,4,13,156,0
1988,4,13,158,0
1988,4,13,160,0
1988,4,13,162,0
1988,4,13,164,0
1988,4,13,166,0
1988,4,13,168,0
1988,4,13,170,0
1988,4,13,172,0
1988,4,13,174,0
1988,4,13,176,0
1988,4,13,178,0
1988,4,13,180,0
1988,4,13,182,0
1988,4,13,184,0
1988,4,13,186,0
1988,4,13,188,0
1988,4,13,190,0
1988,4,13,192,0
1988,4,13,194,0
1988,4,13,196,0
1988,4,13,198,0
1989,1,13,10,0
1989,1,13,12,0
1989,1,13,14,0
1989,1,13,16,0
1989,1,13,18,0
1989,1,13,20,0
1989,1,13,22,0
1989,1,13,24,0
1989,1,13,26,0
1989,1,13,28,0
1989,1,13,30,0
1989,1,13,32,0
1989,1,13,34,0
1989,1,13,36,0
1989,1,13,38,0.73830625603051
1989,1,13,40,0.649709505306848
1989,1,13,42,3.1894830260518
1989,1,13,44,19.5357365393934
1989,1,13,46,9.89330383080883
1989,1,13,48,24.4085578291948
1989,1,13,50,100.83893948243
1989,1,13,52,72.690418415541
1989,1,13,54,143.689537412625
1989,1,13,56,86.548001753913
1989,1,13,58,115.385393939823
1989,1,13,60,116.491697139575
1989,1,13,62,72.9618574538319
1989,1,13,64,59.4092259813456
1989,1,13,66,45.9276007414023
1989,1,13,68,72.3496413534733
1989,1,13,70,31.2686660691639
1989,1,13,72,16.5035441280211
1989,1,13,74,16.6687958974078
1989,1,13,76,0.409470926023532
1989,1,13,78,0.147661251206102
1989,1,13,80,0.616196677712075
1989,1,13,82,0.29134192505865
1989,1,13,84,0.354387002894645
1989,1,13,86,0
1989,1,13,88,0
1989,1,13,90,0.324854752653424
1989,1,13,92,0.679241755548069
1989,1,13,94,0.679241755548069
1989,1,13,96,0.649709505306848
1989,1,13,98,1.00409650820149
1989,1,13,100,0
1989,1,13,102,0.649709505306848
1989,1,13,104,1.00409650820149
1989,1,13,106,0
1989,1,13,108,0.679241755548069
1989,1,13,110,1.32895126085492
1989,1,13,112,0.649709505306849
1989,1,13,114,2.33304776905641
1989,1,13,116,0.649709505306848
1989,1,13,118,2.00819301640299
1989,1,13,120,2.00819301640299
1989,1,13,122,1.00409650820149
1989,1,13,124,0
1989,1,13,126,0
1989,1,13,128,0
1989,1,13,130,0
1989,1,13,132,0
1989,1,13,134,0
1989,1,13,136,0
1989,1,13,138,0
1989,1,13,140,0
1989,1,13,142,0
1989,1,13,144,0
1989,1,13,146,0
1989,1,13,148,0
1989,1,13,150,0
1989,1,13,152,0
1989,1,13,154,0
1989,1,13,156,0
1989,1,13,158,0
1989,1,13,160,0
1989,1,13,162,0
1989,1,13,164,0
1989,1,13,166,0
1989,1,13,168,0
1989,1,13,170,0
1989,1,13,172,0
1989,1,13,174,0
1989,1,13,176,0
1989,1,13,178,0
1989,1,13,180,0
1989,1,13,182,0
1989,1,13,184,0
1989,1,13,186,0
1989,1,13,188,0
1989,1,13,190,0
1989,1,13,192,0
1989,1,13,194,0
1989,1,13,196,0
1989,1,13,198,0
1989,2,13,10,0
1989,2,13,12,0
1989,2,13,14,0
1989,2,13,16,0
1989,2,13,18,0
1989,2,13,20,0
1989,2,13,22,0
1989,2,13,24,0
1989,2,13,26,0
1989,2,13,28,0
1989,2,13,30,0
1989,2,13,32,0.231084301143577
1989,2,13,34,0.115542150571788
1989,2,13,36,0
1989,2,13,38,2.75313050275489
1989,2,13,40,5.22356191771956
1989,2,13,42,1.45402632607664
1989,2,13,44,15.7539294936623
1989,2,13,46,21.467844546584
1989,2,13,48,44.719937506524
1989,2,13,50,99.6517860931259
1989,2,13,52,139.191050901426
1989,2,13,54,173.453091713147
1989,2,13,56,151.878092220241
1989,2,13,58,127.332880025658
1989,2,13,60,113.080569538731
1989,2,13,62,74.7901222135993
1989,2,13,64,81.864463744293
1989,2,13,66,37.0565820689589
1989,2,13,68,34.5922442682627
1989,2,13,70,27.3756875284414
1989,2,13,72,15.8761787526965
1989,2,13,74,23.2885482139624
1989,2,13,76,27.3599021827484
1989,2,13,78,26.9884016347135
1989,2,13,80,49.2066947343245
1989,2,13,82,39.8927910970447
1989,2,13,84,48.9951714868448
1989,2,13,86,57.0931325877612
1989,2,13,88,47.1191662230426
1989,2,13,90,41.7185084789447
1989,2,13,92,30.479226413776
1989,2,13,94,33.4291444323259
1989,2,13,96,22.3534790541677
1989,2,13,98,19.1066339328493
1989,2,13,100,7.11516626739008
1989,2,13,102,8.74730822600827
1989,2,13,104,13.151130549618
1989,2,13,106,7.85296808636868
1989,2,13,108,3.69158760696556
1989,2,13,110,11.7328570146796
1989,2,13,112,7.02361223057122
1989,2,13,114,12.3442655532299
1989,2,13,116,8.22858102697932
1989,2,13,118,11.9230816072993
1989,2,13,120,2.26849671000688
1989,2,13,122,0.305766743191421
1989,2,13,124,0
1989,2,13,126,0.305766743191421
1989,2,13,128,0.305766743191421
1989,2,13,130,0
1989,2,13,132,0.305766743191421
1989,2,13,134,0
1989,2,13,136,0
1989,2,13,138,0.305766743191421
1989,2,13,140,0.726950689122014
1989,2,13,142,0
1989,2,13,144,0
1989,2,13,146,0
1989,2,13,148,0.726950689122014
1989,2,13,150,0
1989,2,13,152,0
1989,2,13,154,0
1989,2,13,156,0
1989,2,13,158,0
1989,2,13,160,0
1989,2,13,162,0
1989,2,13,164,0
1989,2,13,166,0
1989,2,13,168,0
1989,2,13,170,0
1989,2,13,172,0
1989,2,13,174,0
1989,2,13,176,0
1989,2,13,178,0
1989,2,13,180,0
1989,2,13,182,0
1989,2,13,184,0
1989,2,13,186,0
1989,2,13,188,0
1989,2,13,190,0
1989,2,13,192,0
1989,2,13,194,0
1989,2,13,196,0
1989,2,13,198,0
1989,3,13,10,0
1989,3,13,12,0
1989,3,13,14,0
1989,3,13,16,0
1989,3,13,18,0
1989,3,13,20,0
1989,3,13,22,0
1989,3,13,24,0
1989,3,13,26,0
1989,3,13,28,0
1989,3,13,30,0
1989,3,13,32,0.189942188515145
1989,3,13,34,0
1989,3,13,36,0.189942188515145
1989,3,13,38,0.189942188515145
1989,3,13,40,0.284913282772717
1989,3,13,42,0.56377076724883
1989,3,13,44,1.10331834131124
1989,3,13,46,0.919431951092702
1989,3,13,48,0.836572453428338
1989,3,13,50,1.53384207487171
1989,3,13,52,5.45896268410298
1989,3,13,54,22.5060416185543
1989,3,13,56,61.2041705027357
1989,3,13,58,42.7930831373868
1989,3,13,60,66.6881118415436
1989,3,13,62,35.1955350605628
1989,3,13,64,29.107605865424
1989,3,13,66,9.00445073681014
1989,3,13,68,0.189942188515145
1989,3,13,70,0.284913282772717
1989,3,13,72,0.189942188515145
1989,3,13,74,0
1989,3,13,76,0
1989,3,13,78,0
1989,3,13,80,0
1989,3,13,82,0
1989,3,13,84,0
1989,3,13,86,5.58060176221049
1989,3,13,88,10.6538760914928
1989,3,13,90,36.0202477379041
1989,3,13,92,42.615504365971
1989,3,13,94,33.9909380061912
1989,3,13,96,16.3294489479608
1989,3,13,98,5.07327432928226
1989,3,13,100,7.10258406099517
1989,3,13,102,0.602298527185799
1989,3,13,104,4.05861946342581
1989,3,13,106,1.01465486585645
1989,3,13,108,0
1989,3,13,110,0.189942188515145
1989,3,13,112,0.0949710942575724
1989,3,13,114,0.189942188515145
1989,3,13,116,0.0949710942575724
1989,3,13,118,0
1989,3,13,120,0
1989,3,13,122,0
1989,3,13,124,0
1989,3,13,126,0
1989,3,13,128,0
1989,3,13,130,0
1989,3,13,132,0
1989,3,13,134,0
1989,3,13,136,0
1989,3,13,138,0
1989,3,13,140,0
1989,3,13,142,0
1989,3,13,144,0
1989,3,13,146,0
1989,3,13,148,0
1989,3,13,150,0
1989,3,13,152,0
1989,3,13,154,0
1989,3,13,156,0
1989,3,13,158,0
1989,3,13,160,0
1989,3,13,162,0
1989,3,13,164,0
1989,3,13,166,0
1989,3,13,168,0
1989,3,13,170,0
1989,3,13,172,0
1989,3,13,174,0
1989,3,13,176,0
1989,3,13,178,0
1989,3,13,180,0
1989,3,13,182,0
1989,3,13,184,0
1989,3,13,186,0
1989,3,13,188,0
1989,3,13,190,0
1989,3,13,192,0
1989,3,13,194,0
1989,3,13,196,0
1989,3,13,198,0
1989,4,13,10,0
1989,4,13,12,0
1989,4,13,14,0
1989,4,13,16,0
1989,4,13,18,0
1989,4,13,20,0
1989,4,13,22,0
1989,4,13,24,0
1989,4,13,26,0
1989,4,13,28,0
1989,4,13,30,0
1989,4,13,32,0.52518706756095
1989,4,13,34,2.93819125206128
1989,4,13,36,6.73275988466542
1989,4,13,38,16.9739237865726
1989,4,13,40,34.3486697933374
1989,4,13,42,68.0638095606198
1989,4,13,44,58.7123827379353
1989,4,13,46,33.7471137546342
1989,4,13,48,5.99623439655416
