year,season,area,age,length
2009,1,4,1,30
2009,1,4,2,38
2009,2,4,3,50
2009,2,4,4,50
2009,2,4,5,66
2009,3,4,5,64
2009,3,4,5,68
2009,3,4,5,78
2009,4,4,2,38
2009,4,4,2,38
2009,4,4,2,38
2009,4,4,2,40
2009,4,4,2,44
2009,4,4,3,46
2009,4,4,3,48
2009,4,4,3,50
2009,4,4,5,68
2009,4,4,40,144
2009,4,4,1,32
2009,4,4,2,34
2009,4,4,2,36
2009,4,4,2,38
2009,4,4,2,44
2009,4,4,3,48
2009,4,4,4,48
2009,4,4,3,52
2009,4,4,7,72
2009,4,4,7,82
2009,4,4,7,86
2010,1,4,13,108
2010,1,4,15,110
2010,1,4,17,120
2010,1,4,14,132
2010,1,4,22,132
2010,1,4,23,138
2010,1,4,39,146
2010,1,2,11,102
2010,1,2,12,102
2010,1,2,10,108
2010,1,2,15,110
2010,1,2,10,112
2010,1,2,13,112
2010,1,2,10,116
2010,1,2,13,116
2010,1,2,15,116
2010,1,2,14,118
2010,1,2,13,122
2010,1,2,16,122
2010,1,2,14,124
2010,1,2,17,124
2010,1,2,14,126
2010,1,2,14,126
2010,1,2,18,126
2010,1,2,14,128
2010,1,2,15,128
2010,1,2,18,128
2010,1,2,19,130
2010,1,2,19,130
2010,1,2,21,130
2010,1,2,17,132
2010,1,2,19,132
2010,1,2,14,134
2010,1,2,29,138
2010,1,2,30,138
2010,1,2,31,138
2010,1,2,39,138
2010,1,2,26,140
2010,1,4,17,134
2010,1,4,8,76
2010,1,4,9,102
2010,2,4,5,64
2010,2,4,4,66
2010,2,4,5,66
2010,2,4,5,68
2010,2,4,5,68
2010,2,4,5,70
2010,2,4,5,70
2010,2,4,5,72
2010,2,4,5,74
2010,2,4,5,76
2010,2,4,11,108
2010,2,4,10,112
2010,2,4,4,60
2010,2,4,7,62
2010,2,4,4,64
2010,2,4,5,64
2010,2,4,4,72
2010,2,4,7,74
2010,2,4,11,104
2010,2,4,22,132
2010,3,4,23,140
2010,3,2,7,98
2010,3,2,8,98
2010,3,2,10,100
2010,3,2,8,102
2010,3,2,10,102
2010,3,2,12,102
2010,3,2,9,104
2010,3,2,10,104
2010,3,2,11,104
2010,3,2,11,104
2010,3,2,12,104
2010,3,2,12,104
2010,3,2,13,104
2010,3,2,10,106
2010,3,2,10,106
2010,3,2,10,106
2010,3,2,11,106
2010,3,2,11,106
2010,3,2,11,106
2010,3,2,11,106
2010,3,2,12,106
2010,3,2,10,108
2010,3,2,10,108
2010,3,2,11,108
2010,3,2,11,108
2010,3,2,12,108
2010,3,2,12,108
2010,3,2,13,108
2010,3,2,14,108
2010,3,2,15,108
2010,3,2,11,110
2010,3,2,11,110
2010,3,2,12,110
2010,3,2,12,110
2010,3,2,12,110
2010,3,2,12,110
2010,3,2,14,110
2010,3,2,14,110
2010,3,2,19,110
2010,3,2,10,112
2010,3,2,10,112
2010,3,2,10,112
2010,3,2,11,112
2010,3,2,12,112
2010,3,2,16,112
2010,3,2,11,114
2010,3,2,13,114
2010,3,2,13,114
2010,3,2,13,114
2010,3,2,14,114
2010,3,2,18,114
2010,3,2,10,116
2010,3,2,12,116
2010,3,2,12,116
2010,3,2,13,118
2010,3,2,18,120
2010,3,2,12,122
