rel.group,area,year,season,program,length,lendist
1,2,1990,2,RTTP,10,0
1,2,1990,2,RTTP,12,0
1,2,1990,2,RTTP,14,0
1,2,1990,2,RTTP,16,0
1,2,1990,2,RTTP,18,0
1,2,1990,2,RTTP,20,0
1,2,1990,2,RTTP,22,0
1,2,1990,2,RTTP,24,0
1,2,1990,2,RTTP,26,0
1,2,1990,2,RTTP,28,0
1,2,1990,2,RTTP,30,0
1,2,1990,2,RTTP,32,0
1,2,1990,2,RTTP,34,0
1,2,1990,2,RTTP,36,0
1,2,1990,2,RTTP,38,2.22880375835353
1,2,1990,2,RTTP,40,1.48586917223569
1,2,1990,2,RTTP,42,1.48586917223569
1,2,1990,2,RTTP,44,5.94347668894274
1,2,1990,2,RTTP,46,8.17228044729627
1,2,1990,2,RTTP,48,5.94347668894274
1,2,1990,2,RTTP,50,8.91521503341412
1,2,1990,2,RTTP,52,6.31494398200167
1,2,1990,2,RTTP,54,14.115757136239
1,2,1990,2,RTTP,56,3.71467293058922
1,2,1990,2,RTTP,58,1.48586917223569
1,2,1990,2,RTTP,60,0.742934586117843
1,2,1990,2,RTTP,62,0
1,2,1990,2,RTTP,64,0
1,2,1990,2,RTTP,66,0
1,2,1990,2,RTTP,68,0
1,2,1990,2,RTTP,70,0
1,2,1990,2,RTTP,72,0
1,2,1990,2,RTTP,74,0
1,2,1990,2,RTTP,76,0
1,2,1990,2,RTTP,78,0
1,2,1990,2,RTTP,80,0
1,2,1990,2,RTTP,82,0
1,2,1990,2,RTTP,84,0
1,2,1990,2,RTTP,86,0
1,2,1990,2,RTTP,88,0
1,2,1990,2,RTTP,90,0
1,2,1990,2,RTTP,92,0
1,2,1990,2,RTTP,94,0
1,2,1990,2,RTTP,96,0
1,2,1990,2,RTTP,98,0
1,2,1990,2,RTTP,100,0
1,2,1990,2,RTTP,102,0
1,2,1990,2,RTTP,104,0
1,2,1990,2,RTTP,106,0
1,2,1990,2,RTTP,108,0
1,2,1990,2,RTTP,110,0
1,2,1990,2,RTTP,112,0
1,2,1990,2,RTTP,114,0
1,2,1990,2,RTTP,116,0
1,2,1990,2,RTTP,118,0
1,2,1990,2,RTTP,120,0
1,2,1990,2,RTTP,122,0
1,2,1990,2,RTTP,124,0
1,2,1990,2,RTTP,126,0
1,2,1990,2,RTTP,128,0
1,2,1990,2,RTTP,130,0
1,2,1990,2,RTTP,132,0
1,2,1990,2,RTTP,134,0
1,2,1990,2,RTTP,136,0
1,2,1990,2,RTTP,138,0
1,2,1990,2,RTTP,140,0
1,2,1990,2,RTTP,142,0
1,2,1990,2,RTTP,144,0
1,2,1990,2,RTTP,146,0
1,2,1990,2,RTTP,148,0
1,2,1990,2,RTTP,150,0
1,2,1990,2,RTTP,152,0
1,2,1990,2,RTTP,154,0
1,2,1990,2,RTTP,156,0
1,2,1990,2,RTTP,158,0
1,2,1990,2,RTTP,160,0
1,2,1990,2,RTTP,162,0
1,2,1990,2,RTTP,164,0
1,2,1990,2,RTTP,166,0
1,2,1990,2,RTTP,168,0
1,2,1990,2,RTTP,170,0
1,2,1990,2,RTTP,172,0
1,2,1990,2,RTTP,174,0
1,2,1990,2,RTTP,176,0
1,2,1990,2,RTTP,178,0
1,2,1990,2,RTTP,180,0
1,2,1990,2,RTTP,182,0
1,2,1990,2,RTTP,184,0
1,2,1990,2,RTTP,186,0
1,2,1990,2,RTTP,188,0
1,2,1990,2,RTTP,190,0
1,2,1990,2,RTTP,192,0
1,2,1990,2,RTTP,194,0
1,2,1990,2,RTTP,196,0
1,2,1990,2,RTTP,198,0
2,2,1990,3,RTTP,10,0
2,2,1990,3,RTTP,12,0
2,2,1990,3,RTTP,14,0
2,2,1990,3,RTTP,16,0
2,2,1990,3,RTTP,18,0
2,2,1990,3,RTTP,20,0
2,2,1990,3,RTTP,22,0
2,2,1990,3,RTTP,24,0
2,2,1990,3,RTTP,26,0
2,2,1990,3,RTTP,28,1.99965125100579
2,2,1990,3,RTTP,30,1.99965125100579
2,2,1990,3,RTTP,32,4.66585291901352
2,2,1990,3,RTTP,34,49.3247308581429
2,2,1990,3,RTTP,36,100.649112967292
2,2,1990,3,RTTP,38,63.9888400321854
2,2,1990,3,RTTP,40,107.673528900312
2,2,1990,3,RTTP,42,133.61306086266
2,2,1990,3,RTTP,44,174.462326537027
2,2,1990,3,RTTP,46,129.452170380769
2,2,1990,3,RTTP,48,80.1526876444822
2,2,1990,3,RTTP,50,66.4884040959426
2,2,1990,3,RTTP,52,48.9914556496419
2,2,1990,3,RTTP,54,24.8845489014054
2,2,1990,3,RTTP,56,8.6651554210251
2,2,1990,3,RTTP,58,3.99930250201159
2,2,1990,3,RTTP,60,2.66620166800772
2,2,1990,3,RTTP,62,2.66620166800772
2,2,1990,3,RTTP,64,0
2,2,1990,3,RTTP,66,0
2,2,1990,3,RTTP,68,0
2,2,1990,3,RTTP,70,0
2,2,1990,3,RTTP,72,0
2,2,1990,3,RTTP,74,0
2,2,1990,3,RTTP,76,0
2,2,1990,3,RTTP,78,0
2,2,1990,3,RTTP,80,0
2,2,1990,3,RTTP,82,0
2,2,1990,3,RTTP,84,0
2,2,1990,3,RTTP,86,0
2,2,1990,3,RTTP,88,0
2,2,1990,3,RTTP,90,0
2,2,1990,3,RTTP,92,0
2,2,1990,3,RTTP,94,0
2,2,1990,3,RTTP,96,0
2,2,1990,3,RTTP,98,0
2,2,1990,3,RTTP,100,0
2,2,1990,3,RTTP,102,0
2,2,1990,3,RTTP,104,0
2,2,1990,3,RTTP,106,0
2,2,1990,3,RTTP,108,0
2,2,1990,3,RTTP,110,0
2,2,1990,3,RTTP,112,0
2,2,1990,3,RTTP,114,0
2,2,1990,3,RTTP,116,0
2,2,1990,3,RTTP,118,0
2,2,1990,3,RTTP,120,0
2,2,1990,3,RTTP,122,0
2,2,1990,3,RTTP,124,0
2,2,1990,3,RTTP,126,0
2,2,1990,3,RTTP,128,0
2,2,1990,3,RTTP,130,0
2,2,1990,3,RTTP,132,0
2,2,1990,3,RTTP,134,0
2,2,1990,3,RTTP,136,0
2,2,1990,3,RTTP,138,0
2,2,1990,3,RTTP,140,0
2,2,1990,3,RTTP,142,0
2,2,1990,3,RTTP,144,0
2,2,1990,3,RTTP,146,0
2,2,1990,3,RTTP,148,0
2,2,1990,3,RTTP,150,0
2,2,1990,3,RTTP,152,0
2,2,1990,3,RTTP,154,0
2,2,1990,3,RTTP,156,0
2,2,1990,3,RTTP,158,0
2,2,1990,3,RTTP,160,0
2,2,1990,3,RTTP,162,0
2,2,1990,3,RTTP,164,0
2,2,1990,3,RTTP,166,0
2,2,1990,3,RTTP,168,0
2,2,1990,3,RTTP,170,0
2,2,1990,3,RTTP,172,0
2,2,1990,3,RTTP,174,0
2,2,1990,3,RTTP,176,0
2,2,1990,3,RTTP,178,0
2,2,1990,3,RTTP,180,0
2,2,1990,3,RTTP,182,0
2,2,1990,3,RTTP,184,0
2,2,1990,3,RTTP,186,0
2,2,1990,3,RTTP,188,0
2,2,1990,3,RTTP,190,0
2,2,1990,3,RTTP,192,0
2,2,1990,3,RTTP,194,0
2,2,1990,3,RTTP,196,0
2,2,1990,3,RTTP,198,0
3,2,1991,1,RTTP,10,0
3,2,1991,1,RTTP,12,0
3,2,1991,1,RTTP,14,0
3,2,1991,1,RTTP,16,0
3,2,1991,1,RTTP,18,0
3,2,1991,1,RTTP,20,0.674515631228796
3,2,1991,1,RTTP,22,3.37257815614398
