age,length,weight,maturity,natmort
1,19.8,0.1765,0.000564116045061791,0.8544
2,35.0008,0.8797,0.000835322990037746,0.4833
3,48.321,2.2512,0.00261262628674441,0.3501
4,59.9934,4.2559,0.00810659168091832,0.282
5,70.2217,6.779,0.0217273778199869,0.2409
6,79.1847,9.6791,0.0513522259294754,0.2136
7,87.0388,12.8175,0.108577452836623,0.1944
8,93.9213,16.0717,0.205844847440578,0.1801
9,99.9523,19.3413,0.344491208204498,0.1693
10,105.2372,22.548,0.50358938947581,0.1608
11,109.8682,25.6342,0.653538980518993,0.154
12,113.9264,28.5601,0.775021757264758,0.1485
13,117.4825,31.3006,0.863255112338178,0.144
14,120.5987,33.8417,0.922452303391332,0.1403
15,123.3293,36.1786,0.959719252887489,0.1372
16,125.7222,38.313,0.981696593227283,0.1346
17,127.819,40.2511,0.993516053709034,0.1324
18,129.6564,42.0023,0.998801857261968,0.1305
19,131.2665,43.5781,0.999499821903467,0.1289
20,132.6774,44.9909,0.998718321404789,0.1275
21,133.9138,46.2539,0.996009157064887,0.1263
22,134.9972,47.3799,0.992544231829525,0.1253
23,135.9465,48.3815,0.988753115655136,0.1244
24,136.7785,49.2708,0.984903078164613,0.1237
25,137.5075,50.0589,0.981156965054398,0.123
26,138.1463,50.7564,0.977609739680657,0.1225
27,138.7061,51.373,0.974311639441535,0.122
28,139.1966,51.9174,0.971284362449392,0.1215
29,139.6265,52.3976,0.968531832742348,0.1212
30,140.0031,52.8208,0.966046848823952,0.1208
31,140.3332,53.1935,0.963815643183594,0.1205
32,140.6224,53.5215,0.961820753872178,0.1203
33,140.8759,53.8101,0.960043136694988,0.1201
34,141.098,54.0639,0.958463419039019,0.1199
35,141.2926,54.2868,0.957062658244064,0.1197
36,141.4632,54.4828,0.955822814107114,0.1196
37,141.6126,54.6548,0.954727035644254,0.1195
38,141.7436,54.8059,0.953759786913356,0.1194
39,141.8583,54.9385,0.952906882671595,0.1193
40,141.9589,55.0549,0.952155467105856,0.1192
