year,season,area,ssb
1952,1,1,864510
1953,1,1,893330
1954,1,1,899120
1955,1,1,876830
1956,1,1,867250
1957,1,1,937060
1958,1,1,997370
1959,1,1,1055200
1960,1,1,1085700
1961,1,1,1026200
1962,1,1,893450
1963,1,1,797280
1964,1,1,757600
1965,1,1,766010
1966,1,1,832580
1967,1,1,776790
1968,1,1,750000
1969,1,1,741350
1970,1,1,734950
1971,1,1,739420
1972,1,1,767660
1973,1,1,718890
1974,1,1,651620
1975,1,1,658980
1976,1,1,625880
1977,1,1,655920
1978,1,1,711150
1979,1,1,725700
1980,1,1,651010
1981,1,1,592530
1982,1,1,584030
1983,1,1,649520
1984,1,1,655310
1985,1,1,622730
1986,1,1,586490
1987,1,1,655540
1988,1,1,702120
1989,1,1,727820
1990,1,1,753740
1991,1,1,706820
1992,1,1,679550
1993,1,1,674550
1994,1,1,654680
1995,1,1,601450
1996,1,1,569620
1997,1,1,533000
1998,1,1,537770
1999,1,1,519670
2000,1,1,552720
2001,1,1,536480
2002,1,1,528460
2003,1,1,528960
2004,1,1,535960
2005,1,1,505320
2006,1,1,495360
2007,1,1,450390
2008,1,1,451980
2009,1,1,484460
2010,1,1,481510
2011,1,1,461160
2012,1,1,459360
2013,1,1,477490
2014,1,1,500710
2015,1,1,526890
2016,1,1,539920
2017,1,1,540210
2018,1,1,523080
2019,1,1,489560
2020,1,1,496750
2021,1,1,510440
1952,2,1,853870
1953,2,1,876130
1954,2,1,879180
1955,2,1,848480
1956,2,1,869480
1957,2,1,929660
1958,2,1,1002900
1959,2,1,1045400
1960,2,1,1068700
1961,2,1,981510
1962,2,1,849890
1963,2,1,772900
1964,2,1,746590
1965,2,1,765740
1966,2,1,821460
1967,2,1,750310
1968,2,1,745800
1969,2,1,731910
1970,2,1,728330
1971,2,1,745780
1972,2,1,765820
1973,2,1,699870
1974,2,1,644740
1975,2,1,654510
1976,2,1,619370
1977,2,1,675800
1978,2,1,723990
1979,2,1,714970
1980,2,1,631610
1981,2,1,586170
1982,2,1,593490
1983,2,1,669940
1984,2,1,658390
1985,2,1,618620
1986,2,1,599610
1987,2,1,686940
1988,2,1,718300
1989,2,1,755100
1990,2,1,766010
1991,2,1,710980
1992,2,1,702370
1993,2,1,695190
1994,2,1,669150
1995,2,1,613720
1996,2,1,584160
1997,2,1,545900
1998,2,1,558630
1999,2,1,541330
2000,2,1,581430
2001,2,1,550270
2002,2,1,548070
2003,2,1,553090
2004,2,1,553880
2005,2,1,519130
2006,2,1,509170
2007,2,1,458620
2008,2,1,474980
2009,2,1,501260
2010,2,1,488740
2011,2,1,471930
2012,2,1,480110
2013,2,1,500750
2014,2,1,526890
2015,2,1,552030
2016,2,1,563050
2017,2,1,557560
2018,2,1,533710
2019,2,1,501150
2020,2,1,518610
2021,2,1,517960
1952,3,1,582580
1953,3,1,597150
1954,3,1,595930
1955,3,1,571150
1956,3,1,606140
1957,3,1,644590
1958,3,1,699900
1959,3,1,723930
1960,3,1,725670
1961,3,1,652010
1962,3,1,568030
1963,3,1,522930
1964,3,1,513290
1965,3,1,538380
1966,3,1,554710
1967,3,1,509300
1968,3,1,514860
1969,3,1,505110
1970,3,1,503970
1971,3,1,523220
1972,3,1,527610
1973,3,1,472440
1974,3,1,444350
1975,3,1,446910
1976,3,1,434280
1977,3,1,481550
1978,3,1,509640
1979,3,1,480330
1980,3,1,421330
1981,3,1,402380
1982,3,1,428350
1983,3,1,475380
1984,3,1,459210
1985,3,1,423400
1986,3,1,432570
1987,3,1,495310
1988,3,1,510590
1989,3,1,544550
1990,3,1,538520
1991,3,1,500790
1992,3,1,506160
1993,3,1,501020
1994,3,1,474510
1995,3,1,437480
1996,3,1,415400
1997,3,1,392860
1998,3,1,399220
1999,3,1,398550
2000,3,1,417960
2001,3,1,394780
2002,3,1,395720
2003,3,1,404410
2004,3,1,394040
2005,3,1,373320
2006,3,1,358680
2007,3,1,328760
2008,3,1,346680
2009,3,1,357230
2010,3,1,342810
2011,3,1,337630
2012,3,1,351420
2013,3,1,364630
2014,3,1,384710
2015,3,1,401200
2016,3,1,407260
2017,3,1,400350
2018,3,1,375530
2019,3,1,358670
2020,3,1,374600
2021,3,1,367390
1952,4,1,770290
1953,4,1,778590
1954,4,1,769140
1955,4,1,744180
1956,4,1,805510
1957,4,1,841290
1958,4,1,894250
1959,4,1,919450
1960,4,1,899840
1961,4,1,796040
1962,4,1,702200
1963,4,1,658520
1964,4,1,656120
1965,4,1,701740
1966,4,1,690010
1967,4,1,650770
1968,4,1,655380
1969,4,1,645900
1970,4,1,646900
1971,4,1,678540
1972,4,1,652730
