age,year,area,f
1,1952,1,6.6722737e-07
2,1952,1,0.0152296768
3,1952,1,0.0219424343
4,1952,1,0.0294008292
5,1952,1,0.0203832197
6,1952,1,0.0114896654
7,1952,1,0.0079304443
8,1952,1,0.0068774653
9,1952,1,0.00623142
10,1952,1,0.0055909666
11,1952,1,0.0051328332
12,1952,1,0.0050276123
13,1952,1,0.0052540343
14,1952,1,0.0056317605
15,1952,1,0.0060244257
16,1952,1,0.0063803931
17,1952,1,0.0066852947
18,1952,1,0.006939216
19,1952,1,0.007147032
20,1952,1,0.007314875
21,1952,1,0.007448888
22,1952,1,0.007554784
23,1952,1,0.007637663
24,1952,1,0.007701949
25,1952,1,0.007751504
26,1952,1,0.007789143
27,1952,1,0.007817471
28,1952,1,0.007838587
29,1952,1,0.007854156
30,1952,1,0.007865492
31,1952,1,0.007873618
32,1952,1,0.00787933
33,1952,1,0.007883242
34,1952,1,0.007885821
35,1952,1,0.007887422
36,1952,1,0.007888318
37,1952,1,0.007888711
38,1952,1,0.007888711
39,1952,1,0.007888711
40,1952,1,0.007888711
1,1953,1,8.3933823e-07
2,1953,1,0.0293426276
3,1953,1,0.0435490373
4,1953,1,0.0591056531
5,1953,1,0.0406969399
6,1953,1,0.022136618
7,1953,1,0.0141889689
8,1953,1,0.0113814747
9,1953,1,0.0094835447
10,1953,1,0.0076199298
11,1953,1,0.0060833615
12,1953,1,0.0051872898
13,1953,1,0.004917451
14,1953,1,0.0049877327
15,1953,1,0.0051694245
16,1953,1,0.0053645483
17,1953,1,0.0055392385
18,1953,1,0.005685417
19,1953,1,0.0058040126
20,1953,1,0.0058986047
21,1953,1,0.0059732102
22,1953,1,0.0060315457
23,1953,1,0.0060768356
24,1953,1,0.0061117838
25,1953,1,0.0061388291
26,1953,1,0.0061591469
27,1953,1,0.0061742846
28,1953,1,0.0061854634
29,1953,1,0.0061936296
30,1953,1,0.0061995187
31,1953,1,0.0062036985
32,1953,1,0.0062066019
33,1953,1,0.0062085583
34,1953,1,0.0062098232
35,1953,1,0.0062105843
36,1953,1,0.0062109815
37,1953,1,0.0062111269
38,1953,1,0.0062111269
39,1953,1,0.0062111269
40,1953,1,0.0062111269
1,1954,1,1.06501624e-06
2,1954,1,0.0344258674
3,1954,1,0.0502371869
4,1954,1,0.0676878151
5,1954,1,0.0467598947
6,1954,1,0.0258031902
7,1954,1,0.0170403733
8,1954,1,0.0141357099
9,1954,1,0.0121835064
10,1954,1,0.010192786
11,1954,1,0.0085195343
12,1954,1,0.007553965
13,1954,1,0.007326631
14,1954,1,0.007544088
15,1954,1,0.007940402
16,1954,1,0.008379421
17,1954,1,0.00879974
18,1954,1,0.009175778
19,1954,1,0.009499006
20,1954,1,0.009769301
21,1954,1,0.009990684
22,1954,1,0.010169025
23,1954,1,0.010310734
24,1954,1,0.010422023
25,1954,1,0.010508787
26,1954,1,0.010575214
27,1954,1,0.010625567
28,1954,1,0.010663347
29,1954,1,0.010691377
30,1954,1,0.010711911
31,1954,1,0.010726725
32,1954,1,0.010737211
33,1954,1,0.010744451
34,1954,1,0.010749273
35,1954,1,0.010752318
36,1954,1,0.010754067
37,1954,1,0.010754891
38,1954,1,0.010754891
39,1954,1,0.010754891
40,1954,1,0.010754891
1,1955,1,1.08266723e-06
2,1955,1,0.0206413666
3,1955,1,0.0299293161
4,1955,1,0.0402181643
5,1955,1,0.0278600676
6,1955,1,0.0156318509
7,1955,1,0.010739917
8,1955,1,0.0093179062
9,1955,1,0.0084249479
10,1955,1,0.0074819332
11,1955,1,0.0067245579
12,1955,1,0.006399527
13,1955,1,0.0065116088
14,1955,1,0.0068582488
15,1955,1,0.0072699461
16,1955,1,0.0076695927
17,1955,1,0.008027448
18,1955,1,0.008334806
19,1955,1,0.008591922
20,1955,1,0.008802874
21,1955,1,0.008973259
22,1955,1,0.00910907
23,1955,1,0.009216082
24,1955,1,0.009299543
25,1955,1,0.009364186
26,1955,1,0.009413468
27,1955,1,0.009450686
28,1955,1,0.009478514
29,1955,1,0.009499091
30,1955,1,0.009514116
31,1955,1,0.00952492
32,1955,1,0.009532537
33,1955,1,0.00953777
34,1955,1,0.009541235
35,1955,1,0.009543403
36,1955,1,0.009544628
37,1955,1,0.009545181
38,1955,1,0.009545181
39,1955,1,0.009545181
40,1955,1,0.009545181
1,1956,1,1.11189443e-06
2,1956,1,0.0147900796
3,1956,1,0.0219270813
4,1956,1,0.029755166
5,1956,1,0.0205532174
6,1956,1,0.0114089944
7,1956,1,0.0077507508
8,1956,1,0.0067062986
9,1956,1,0.0060535637
10,1956,1,0.00533557
11,1956,1,0.0047222903
12,1956,1,0.0044003905
13,1956,1,0.0043760342
14,1956,1,0.0045106924
15,1956,1,0.004691235
16,1956,1,0.0048677824
17,1956,1,0.0050229104
18,1956,1,0.005152812
19,1956,1,0.0052587782
20,1956,1,0.0053437757
21,1956,1,0.0054111113
22,1956,1,0.0054639217
23,1956,1,0.0055049909
24,1956,1,0.005536686
25,1956,1,0.0055610907
26,1956,1,0.0055795037
27,1956,1,0.0055932778
28,1956,1,0.0056034834
29,1956,1,0.0056109651
30,1956,1,0.0056163788
31,1956,1,0.0056202324
32,1956,1,0.005622917
33,1956,1,0.0056247338
34,1956,1,0.0056259113
35,1956,1,0.0056266226
36,1956,1,0.0056269986
37,1956,1,0.0056271367
38,1956,1,0.0056271367
39,1956,1,0.0056271367
40,1956,1,0.0056271367
1,1957,1,1.06453476e-06
2,1957,1,0.0062067774
3,1957,1,0.0088311591
4,1957,1,0.0117768438
5,1957,1,0.0082569768
6,1957,1,0.0049706933
7,1957,1,0.0039856996
8,1957,1,0.004021326
9,1957,1,0.0041463814
10,1957,1,0.0041910498
11,1957,1,0.0042568349
12,1957,1,0.0044435585
13,1957,1,0.0047475091
14,1957,1,0.0050874919
15,1957,1,0.0054050246
16,1957,1,0.0056807548
17,1957,1,0.0059118534
18,1957,1,0.0061016878
19,1957,1,0.0062554683
20,1957,1,0.0063786267
21,1957,1,0.0064762605
22,1957,1,0.0065529315
23,1957,1,0.0066126089
24,1957,1,0.0066586684
25,1957,1,0.0066939747
26,1957,1,0.0067207208
27,1957,1,0.0067408027
28,1957,1,0.0067557379
29,1957,1,0.0067667244
30,1957,1,0.0067747032
31,1957,1,0.0067804061
32,1957,1,0.0067844015
33,1957,1,0.0067871219
34,1957,1,0.0067889025
35,1957,1,0.0067899963
36,1957,1,0.0067905918
37,1957,1,0.0067908365
38,1957,1,0.0067908365
39,1957,1,0.0067908365
40,1957,1,0.0067908365
1,1958,1,1.08357267e-06
2,1958,1,0.0102235362
3,1958,1,0.0143245554
4,1958,1,0.0189600727
5,1958,1,0.0132780042
6,1958,1,0.0078977092
7,1958,1,0.0060948899
8,1958,1,0.0058948224
9,1958,1,0.0058827653
10,1958,1,0.0058100607
11,1958,1,0.0058265434
12,1958,1,0.0060715292
13,1958,1,0.006530217
14,1958,1,0.0070644269
15,1958,1,0.007573035
16,1958,1,0.00802116
17,1958,1,0.008401562
18,1958,1,0.008717642
19,1958,1,0.008976298
20,1958,1,0.009185283
21,1958,1,0.009352201
22,1958,1,0.009484114
23,1958,1,0.00958734
24,1958,1,0.009667373
25,1958,1,0.00972895
26,1958,1,0.00977576
27,1958,1,0.009811021
28,1958,1,0.009837321
29,1958,1,0.009856726
30,1958,1,0.009870864
31,1958,1,0.009881004
32,1958,1,0.009888136
33,1958,1,0.009893021
34,1958,1,0.009896243
35,1958,1,0.009898244
36,1958,1,0.009899363
37,1958,1,0.009899854
38,1958,1,0.009899854
39,1958,1,0.009899854
40,1958,1,0.009899854
1,1959,1,2.1212776e-06
2,1959,1,0.0230594761
3,1959,1,0.0333085843
4,1959,1,0.0446958639
5,1959,1,0.0310802871
6,1959,1,0.0179448817
7,1959,1,0.0131275529
8,1959,1,0.012106575
9,1959,1,0.01167653
10,1959,1,0.011249206
11,1959,1,0.011143481
12,1959,1,0.011633057
13,1959,1,0.01260916
14,1959,1,0.013689444
15,1959,1,0.014636257
16,1959,1,0.015400349
17,1959,1,0.015996628
18,1959,1,0.016456335
19,1959,1,0.016809399
20,1959,1,0.017080129
21,1959,1,0.017287349
22,1959,1,0.017445522
23,1959,1,0.017565815
24,1959,1,0.017656892
25,1959,1,0.017725669
26,1959,1,0.01777694
27,1959,1,0.017814872
28,1959,1,0.017842693
29,1959,1,0.017862886
30,1959,1,0.01787735
31,1959,1,0.017887541
32,1959,1,0.017894563
33,1959,1,0.01789925
34,1959,1,0.017902237
35,1959,1,0.017903992
36,1959,1,0.017904874
37,1959,1,0.017905142
38,1959,1,0.017905142
39,1959,1,0.017905142
40,1959,1,0.017905142
1,1960,1,1.8003226e-06
2,1960,1,0.0122456503
3,1960,1,0.017932293
4,1960,1,0.0242167664
5,1960,1,0.0168569913
6,1960,1,0.0098645249
7,1960,1,0.007504074
8,1960,1,0.0072223255
9,1960,1,0.0072386226
10,1960,1,0.0072254199
11,1960,1,0.0073748614
12,1960,1,0.0078476227
13,1960,1,0.0085627321
14,1960,1,0.0092827166
15,1960,1,0.009874566
16,1960,1,0.010324659
17,1960,1,0.0106555178
18,1960,1,0.0108958458
19,1960,1,0.0110701385
20,1960,1,0.0111968352
21,1960,1,0.0112892082
22,1960,1,0.0113567046
23,1960,1,0.0114060676
24,1960,1,0.0114421538
25,1960,1,0.0114685832
26,1960,1,0.0114876825
27,1960,1,0.0115013999
28,1960,1,0.0115111655
29,1960,1,0.0115180427
30,1960,1,0.0115228115
31,1960,1,0.0115260472
32,1960,1,0.0115281769
33,1960,1,0.0115295132
34,1960,1,0.0115302863
35,1960,1,0.0115306647
36,1960,1,0.0115307701
37,1960,1,0.0115306925
38,1960,1,0.0115306925
39,1960,1,0.0115306925
40,1960,1,0.0115306925
1,1961,1,1.3600721e-06
2,1961,1,0.0166327909
3,1961,1,0.024064414
4,1961,1,0.032312317
5,1961,1,0.022448021
6,1961,1,0.0129039662
7,1961,1,0.0093342022
8,1961,1,0.008496139
9,1961,1,0.008113484
10,1961,1,0.007770834
11,1961,1,0.0076943936
12,1961,1,0.0080701819
13,1961,1,0.008802991
14,1961,1,0.009599666
15,1961,1,0.010283789
16,1961,1,0.010824183
17,1961,1,0.011236884
