year,area,stage,f
1952,1,adult,0.00729557846468866
1953,1,adult,0.00614952740425862
1954,1,adult,0.0101007897445069
1955,1,adult,0.00887660043187869
1956,1,adult,0.00541295725895959
1957,1,adult,0.00626335212518034
1958,1,adult,0.00903660411751301
1959,1,adult,0.0166712669846949
1960,1,adult,0.0108425593792321
1961,1,adult,0.0116426596204726
1962,1,adult,0.0227210713140107
1963,1,adult,0.01145856786447
1964,1,adult,0.0161709643103731
1965,1,adult,0.0145210328351
1966,1,adult,0.0193954685813973
1967,1,adult,0.0145399484910226
1968,1,adult,0.0190394886133645
1969,1,adult,0.0153177184931639
1970,1,adult,0.0259262090968559
1971,1,adult,0.0174676160342141
1972,1,adult,0.0163926967298321
1973,1,adult,0.0250472103406752
1974,1,adult,0.0354592335462343
1975,1,adult,0.0250161182075211
1976,1,adult,0.0301062512027793
1977,1,adult,0.0292976449752367
1978,1,adult,0.0353583896999171
1979,1,adult,0.0488593215020568
1980,1,adult,0.052199206084428
1981,1,adult,0.0351713041560295
1982,1,adult,0.0224255389265697
1983,1,adult,0.0291276800927778
1984,1,adult,0.0357696619187279
1985,1,adult,0.05097062167649
1986,1,adult,0.0353413041669064
1987,1,adult,0.0306175914447463
1988,1,adult,0.0355190444904
1989,1,adult,0.032551521528252
1990,1,adult,0.0273756345408842
1991,1,adult,0.0310708577729265
1992,1,adult,0.0333833051687668
1993,1,adult,0.0323807511130325
1994,1,adult,0.0187888544896266
1995,1,adult,0.0408064949438683
1996,1,adult,0.0265048029781903
1997,1,adult,0.0282702345151056
1998,1,adult,0.0307016895683284
1999,1,adult,0.033099117884787
2000,1,adult,0.0298881166666657
2001,1,adult,0.0200416718576501
2002,1,adult,0.0157982735673874
2003,1,adult,0.0296819183139169
2004,1,adult,0.0264761775707611
2005,1,adult,0.0276644347322993
2006,1,adult,0.0314064954915803
2007,1,adult,0.0214291941445465
2008,1,adult,0.0359269960460457
2009,1,adult,0.0276599135352503
2010,1,adult,0.0279616254931596
2011,1,adult,0.0336773895999867
2012,1,adult,0.0324622751811741
2013,1,adult,0.025016627385702
2014,1,adult,0.0173696146729562
2015,1,adult,0.0274243367124935
2016,1,adult,0.0434168530724732
2017,1,adult,0.048524149955298
2018,1,adult,0.0507488965191478
2019,1,adult,0.0540211117754806
2020,1,adult,0.037386073512883
2021,1,adult,0.0556862255891302
1952,2,adult,0.00341057831352769
1953,2,adult,0.00232919547832276
1954,2,adult,0.00233224769498758
1955,2,adult,0.00161735336397789
1956,2,adult,0.00210326058138456
1957,2,adult,0.00114902392505248
1958,2,adult,0.00508084148183539
