fishery,age,sel
1,1,3e-04
1,2,4e-04
1,3,0.001
1,4,0.0053
1,5,0.0281
1,6,0.1044
1,7,0.238
1,8,0.3816
1,9,0.5012
1,10,0.5911
1,11,0.6604
1,12,0.7196
1,13,0.7719
1,14,0.8169
1,15,0.8547
1,16,0.8858
1,17,0.9111
1,18,0.9314
1,19,0.9475
1,20,0.9601
1,21,0.9699
1,22,0.9775
1,23,0.9833
1,24,0.9877
1,25,0.9911
1,26,0.9936
1,27,0.9955
1,28,0.9969
1,29,0.9979
1,30,0.9986
1,31,0.9991
1,32,0.9995
1,33,0.9997
1,34,0.9999
1,35,0.9999
1,36,1
1,37,1
1,38,1
1,39,1
1,40,1
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0.0038
2,6,0.0444
2,7,0.0777
2,8,0.0876
2,9,0.1234
2,10,0.2047
2,11,0.3377
2,12,0.5118
2,13,0.6914
2,14,0.833
2,15,0.9235
2,16,0.973
2,17,0.9949
2,18,1
2,19,0.996
2,20,0.9878
2,21,0.9783
2,22,0.9688
2,23,0.9603
2,24,0.9529
2,25,0.9468
2,26,0.9418
2,27,0.9378
2,28,0.9347
2,29,0.9323
2,30,0.9305
2,31,0.9291
2,32,0.9281
2,33,0.9274
2,34,0.9269
2,35,0.9265
2,36,0.9263
2,37,0.9262
2,38,0.9262
2,39,0.9262
2,40,0.9262
3,1,0
3,2,0
3,3,0
3,4,0.0017
3,5,0.0165
3,6,0.0513
3,7,0.0823
3,8,0.0968
3,9,0.1038
3,10,0.1132
3,11,0.1316
3,12,0.1645
3,13,0.2132
3,14,0.2758
3,15,0.3492
3,16,0.4293
3,17,0.5113
3,18,0.5909
3,19,0.6646
3,20,0.7304
3,21,0.7871
3,22,0.8346
3,23,0.8735
3,24,0.9048
3,25,0.9294
3,26,0.9485
3,27,0.9632
3,28,0.9742
3,29,0.9823
3,30,0.9883
3,31,0.9925
3,32,0.9955
3,33,0.9975
3,34,0.9988
3,35,0.9995
3,36,0.9999
3,37,1
3,38,1
3,39,1
3,40,1
4,1,0
4,2,0
4,3,0
4,4,0
4,5,2e-04
4,6,0.0161
4,7,0.0898
4,8,0.19
4,9,0.3458
4,10,0.5785
4,11,0.8252
4,12,0.9861
4,13,1
4,14,0.8863
4,15,0.7288
4,16,0.5855
4,17,0.473
4,18,0.3897
4,19,0.3295
4,20,0.286
4,21,0.2545
4,22,0.2316
4,23,0.2148
4,24,0.2024
4,25,0.1932
4,26,0.1863
4,27,0.1813
4,28,0.1775
4,29,0.1747
4,30,0.1727
4,31,0.1712
4,32,0.1701
4,33,0.1694
4,34,0.1689
4,35,0.1685
4,36,0.1683
4,37,0.1681
4,38,0.1681
4,39,0.1681
4,40,0.1681
5,1,0
5,2,0
5,3,0
5,4,0
5,5,2e-04
5,6,0.0024
5,7,0.0078
5,8,0.0182
5,9,0.0515
5,10,0.1503
5,11,0.3631
5,12,0.6674
5,13,0.925
5,14,1
5,15,0.9229
5,16,0.7903
5,17,0.6595
5,18,0.5509
5,19,0.4672
5,20,0.4046
5,21,0.3583
5,22,0.3241
5,23,0.2988
5,24,0.2801
5,25,0.2661
5,26,0.2557
5,27,0.248
5,28,0.2422
5,29,0.2379
5,30,0.2348
5,31,0.2325
5,32,0.2309
5,33,0.2297
5,34,0.2289
5,35,0.2283
5,36,0.228
5,37,0.2278
5,38,0.2278
5,39,0.2278
5,40,0.2278
6,1,0
6,2,0
6,3,0
6,4,0
6,5,1e-04
6,6,0.0014
6,7,0.0026
6,8,0.0035
6,9,0.0084
6,10,0.0277
6,11,0.0879
6,12,0.2268
